Name,id,description,category,FY17Budget,FY17Salaries,FY17Other,FY16Budget,FY16Salaries,FY16Other,FY15Budget,FY15Salaries,FY15Other,FY14Budget,FY14Salaries,FY14Other,FY13Budget,FY13Salaries,FY13Other,FY12Budget,FY12Salaries,FY12Other,FY11Budget,FY11Salaries,FY11Other,FY10Budget,FY10Salaries,FY10Other,FY09Budget,FY09Salaries,FY09Other,FY08Budget,FY08Salaries,FY08Other
Aging,1,"""This Department plans, contracts, and directly administers programs for older adults residing in the City of Los Angeles and their family caregivers through a network of 16 multi-purpose senior centers and Citywide service providers. These programs include both congregate and home-delivered nutrition services, disease prevention, legal services, health promotion, social services, and transportation assistance. The programs promote healthy living, physical activity, and mental and emotional wellness for older adults. They are designed to promote an interdependent, comprehensive, accessible, culturally sensitive, and socially inclusive system of programs for older adults and caregivers. These programs are funded by federal Older Americans Act and state Older Californians Act grant funds. For more information, see http://aging.lacity.org""",Budgetary department,5842739,3424373,1483564,4900092,3292891,644066,4744077,3176006,411594,4092088,3345697,150691,4328550,3242403,162202,4789021,3249633,236137,4434886,3306358,145241,4789730,3397279,207193,4835617,3744684,208378,4376859,3833070,277339
Animal Services,2,,Budgetary department,23716220,20232557,2094839,23052748,20230641,2004849,23191449,19793699,1565149,21940274,19663191,2076427,20274261,18496062,1493002,20385428,18732779,1408287,20499953,18633086,1465481,20403101,18796825,1440895,21490826,19779291,1573129,21462011,18872682,1997552
Building and Safety,3,,Budgetary department,105972482,96013588,2060382,108429152,85687432,1771290,92732932,79645582,1781910,80682901,74383257,1711323,76158579,69124443,1829597,71764509,68666439,1876692,69378706,66531546,1923293,72386079,69221891,2032810,87221253,81884526,2357080,85371562,79945481,2185497
City Administrative Officer,4,,Budgetary department,20948390,14013078,3756057,19066725,13336930,3933893,17424728,13157319,1125855,16420192,12114500,1767718,14800609,11547253,1403475,14089791,11087799,1703969,11939615,10560383,699962,13194895,11973457,903180,14561157,12932449,1336827,13889066,11854524,1315639
City Attorney,5,,Budgetary department,131047123,115658374,14619124,125940268,112302291,11913665,123428190,109342407,11105639,118903930,102922446,14874896,109238397,92654655,15998221,103504744,90896957,11539114,106926230,92899906,13969380,109160287,97514888,10974551,116132900,103374606,12545542,113163181,97841017,14683498
City Clerk,6,,Budgetary department,27116707,13098189,11603661,10154035,9093801,532230,26261888,13234903,7569159,10105576,8821277,626417,25164592,15354772,8145891,13554356,9093116,2008513,24237611,13811283,8622522,13958368,10640307,1574922,32024986,15308760,14006388,16152118,10834582,4420490
City Planning,7,,Budgetary department,46165954,30604836,10704106,42325984,26727511,7424845,36620281,24433524,6050937,32829847,22719362,6466167,29938653,21545437,4435103,25345021,19909195,2440994,27424893,20624241,3265144,26524229,21829197,3435866,31916489,25140708,3714598,30633901,23797204,5759750
"Commision on Children, Youth & Families",8,,Budgetary department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1847221,1318456,228020,1555634,1094469,320176
Commision on Status of Women,9,,Budgetary department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237974,187420,28800,806115,777665,23159
Controller,10,,Budgetary department,18072215,15648094,1550600,18218260,15221605,1949624,18495815,15290194,2000404,17449389,14497795,1164187,17167916,14283327,1671436,16825231,14359492,1714397,16692642,14603397,1066685,17155758,14613135,1487345,18671804,16005204,2086598,20470674,15040276,3580024
Convention & Tourism Development,11,,Budgetary department,1577644,1320529,166691,1588937,1283465,201392,1641823,1268153,120906,21837111,7025428,5534343,22905142,14323500,7940592,24824733,14923623,8814297,22919884,14383694,7862330,23378431,13412179,7325785,26584831,16295637,7925089,25677288,16211465,8751051
Council,12,,Budgetary department,41244553,28744656,3544385,40123622,27685181,3254104,38929668,26773946,3230429,36527239,25648890,2283580,35759965,25903933,2235519,36869378,24524333,2453542,35039305,23870134,1771344,35246357,24365821,2262513,37005109,27278350,2089088,33915578,24783611,2639419
Cultural Affairs,13,,Budgetary department,13441441,5931298,5453773,11642601,5141849,5244116,10427420,4715221,4540809,9328945,4420526,4021841,9040592,4212322,4406919,8141493,4231956,3186149,8883338,4232520,4396670,9411541,4870874,4182235,10422494,5370181,4521975,10229021,5311091,4501266
Disability,14,,Budgetary department,3141521,1521167,1464400,2721322,1450998,1250073,1954731,1382198,410274,1897662,1410297,401112,2023116,1141470,444933,1479665,1037585,348205,1602263,1211602,385129,1657305,1270066,386953,1865747,1459136,391822,1895871,1424149,448121
Economic and Workforce Development,15,,Budgetary department,20185170,12632239,3553269,20680091,12763061,3091022,19989688,13136490,2979685,19819713,14127937,3266318,28114949,22460802,3744861,30878922,23775800,4942331,35476446,28842217,791306,32005653,20933449,4601553,30531199,22224573,4380105,33915652,22877432,4827199
El Pueblo de Los Angeles,16,,Budgetary department,1770220,1322802,404130,1758680,1240212,404272,1737244,1174497,393333,1777818,1173292,472829,1633260,1197799,413333,1643555,1169198,384267,1638731,1220369,396515,2011597,1396304,379120,2116573,1470639,452716,2104220,1571550,403293
Emergency Management,17,,Budgetary department,3314164,2982297,67718,3318626,2957917,69926,3173119,2649473,71021,3361908,2515227,64222,2872395,2551907,67304,2891456,2403141,66188,2497063,2362643,56449,2688982,2271501,74829,2707412,2477658,65382,2361032,2160472,156321
Employee Relations Board,18,,Budgetary department,420264,284245,54433,416747,278859,70378,402007,289287,46613,411943,251254,87333,400284,244388,84775,383143,277955,28317,372953,294133,75860,349729,273174,65209,432244,243532,156073,372987,225279,121436
Environmental Affairs,19,,Budgetary department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3130919,2413599,95158,3096876,2942840,49954,3239248,2995865,111898
Ethics Commission,20,,Budgetary department,2956339,2500710,285078,2932856,2457636,379122,2805356,2270115,139837,2488982,2141840,156014,2269501,1967136,71039,2086038,1690107,133783,2111330,1898392,128607,2248272,2048563,57854,2457368,2329940,94222,2600065,2222842,101152
Finance,21,,Budgetary department,38943221,28593135,9167090,38728705,27475502,9359499,39025010,27171034,10319738,38156204,27410313,9682983,36225462,26690883,9021884,42467467,26004277,16054652,25636955,23461851,1806817,25749260,23692474,1609549,28310252,25640523,1963298,26938577,23857530,2863992
Fire,22,,Budgetary department,660530087,596378877,53899905,636048506,579193477,40513417,601652050,554847543,36939592,566120158,529468580,30317170,526674517,499678254,23506836,506842888,480712635,22149542,506231950,477956680,21089158,509132730,481003630,22918785,569742591,539227279,23671585,551259085,522121741,24849176
General Services,23,,Budgetary department,302140698,123330983,145803776,341613570,124750119,188458509,300893321,119941314,147665472,285127827,119607968,141059303,296527984,122728178,141071957,314555920,134821603,144512557,291577234,133900685,130465205,326406982,153959321,140709969,377202160,173902309,163921437,361303752,164240828,157222183
Housing and Community Investment,24,,Budgetary department,73739769,51016582,14982711,71272702,51776879,12719366,69547987,50430993,10721644,64594297,50690064,7618948,54073979,42385049,6191618,55084872,44210838,6072973,56925615,42869614,8157128,52145608,38382384,7904484,48968839,39619679,7789910,46619235,37573698,8120708
Human Services ,25,,Budgetary department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608822,1271750,112281,880236,835459,18057,1345914,1244441,65070
Information Technology Agency,26,,Budgetary department,93289195,47332652,42356632,100046006,51228031,45804142,96477763,49730517,44102511,89026180,49376142,37310223,88858913,48397456,38466652,90582389,49694302,39885735,88964288,51702034,36106847,102602347,58990948,41319569,114281046,68625555,40288500,116463809,67470054,45910038
Mayor,27,,Budgetary department,48624336,15757474,28726631,47928962,14342978,28697160,41524499,12804126,23324653,36543827,11638465,22558048,37844452,13868418,22399355,36789864,13817892,20710412,34443015,12948073,19558439,35635309,14258906,19508195,36615844,13417276,16238867,17564594,11993180,1043322
Neighborhood Empowerment,28,,Budgetary department,2467861,1837053,547300,3123977,2275917,606241,2317441,1950336,264264,2622032,1935685,207802,2404128,1758944,527425,1923381,1485150,198352,1630855,1495462,114014,2664542,2518838,81484,3747941,3316534,309789,3812248,3177836,587625
Personnel,29,,Budgetary department,60147529,48346027,9449028,58695556,47351896,8996005,55802414,45160971,8057846,53961878,43172660,7786752,49878145,39643570,6690824,42687033,31939647,7659884,42234488,31104396,7467120,60816611,33463041,24332744,65219319,38616208,26081878,63980947,38149012,25143766
Police,30,,Budgetary department,1526004243,1420080619,94290340,1459300631,1362616683,82367251,1430732899,1345458221,72048287,1345839854,1255251116,73397571,1264524341,1200084475,49528778,1243643139,1187657421,46739868,1208715123,1155859708,44913242,1253606212,1189450532,48218296,1333820327,1258099062,63901998,1269831766,1197715667,63632479
Board of Public Works,31,,Budgetary department,22918206,8536513,13765592,22459175,7700982,14182542,19491548,7632862,10983283,19055688,6815259,11496464,16945646,6486817,9769099,20275831,7831017,11950353,21335387,7741127,12977636,21905229,8605522,12219098,23541759,10065313,13142307,26717495,11922363,14378234
Bureau of Contract Administration,32,,Budgetary department,35679056,29555021,2383434,32765926,27877675,1887557,32076587,27622958,1512848,32671618,27523311,1872024,31730452,25992284,1531008,32150994,26472126,1652553,34415711,26440350,1486570,33615887,27564469,1574634,38274809,31437282,1842110,37309623,29911386,1785578
Bureau of Engineering,33,,Budgetary department,93217914,83545253,2728506,85791506,75935789,2886859,81913937,72378803,2495262,81186691,68949798,1723505,79945621,66211534,2389666,76866092,68597667,1684247,76959174,68007260,1786093,82149082,70440592,1985254,94912281,82907604,2350080,96681391,83693148,2560355
Bureau of Sanitation,34,,Budgetary department,263722834,235214760,12764623,249824805,224013318,7707904,231233172,212532729,6534354,224327619,204547581,7420752,222844618,193701946,6066203,221397272,193601400,5729128,215284572,193850165,7018126,263395585,180763852,61899423,264711710,192555693,63221467,255906556,185540380,64119705
Bureau of Street Lighting,35,,Budgetary department,37455667,26092354,5976705,36043256,23827238,6694508,31879340,20600497,4993144,28811359,20261619,5462817,27257051,19280570,4941344,30217358,18857609,6047193,26038375,17829430,4649093,24780568,16180487,4724620,27782734,17191971,5353507,27660793,17085138,6048690
Bureau of Street Services,36,,Budgetary department,189825013,85836584,87756620,187814618,76868992,85192061,189786826,76617039,88325304,190921056,75839372,94315301,181710379,75388508,87869322,181735594,76484387,90643975,167983071,72789667,75690614,179334781,79886682,74140815,200364509,93935821,92261400,177581649,95544297,78928062
Transportation,37,,Budgetary department,162856291,129728012,22299764,155401986,122245874,19050979,148078350,120141217,18426501,140131879,119765562,17239418,139659298,115505458,21100862,140048046,115377819,18713695,140442457,110058929,16377984,142355614,108908306,21232981,177928667,122005823,27806807,153952735,115304806,28258824
Treasurer,38,,Budgetary department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14489815,2638157,11528545,11398381,3043754,8238887,7486724,3209499,4273245,5052284,2725345,2219138
Zoo,39,,Budgetary department,20495935,16359416,2905723,19874600,16103364,3124161,19674621,15486207,2825166,18249880,14921906,2570088,17803619,14401141,3028617,18242383,14206506,2820010,17478911,13390936,2879682,16261512,12855468,2806032,19010892,14469123,3478891,19215182,15027241,3595983
Library,40,,Non-departmental,157909299,65703246,92206053,147623777,63969254,83654523,139401339,61281144,78120195,118966839,59283422,59683417,102307213,55299715,47007498,89247557,54959562,34287995,75902051,53262367,22639684,75463926,56750811,18713115,69773143,60839843,8933300,64325712,59532907,4792805
Recreation & Parks,41,,Non-departmental,178363168,128858492,49504676,166347015,127420119,38926896,159879509,124226496,35653013,151900170,122308355,29591815,144223983,119001842,25222141,148615795,118584945,30030850,142160953,122025395,20135558,140267292,133763980,6503312,134225730,143477096,-9251366,132227040,144421065,-12194025
City Employees' Retirement System,42,,Non-departmental,107568091,0,107568091,102940315,0,102940315,94050116,0,94050116,83759067,0,83759067,74719463,0,74719463,75978843,0,75978843,72701328,0,72701328,57554192,0,57554192,57532368,0,57532368,58541507,0,58541507
Fire and Police Pension,43,,Non-departmental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282600,0,282600
Tax and Revenue Anticipation Notes,44,,Non-departmental,1085728613,0,1085728613,1063266583,0,1063266583,1038882250,0,1038882250,955905263,0,946559147,860620300,0,851355871,798081315,0,798081315,742088328,0,734432503,665527709,0,657949403,657950594,0,653365594,699056371,0,699056371
Bond Redemption and Interest,45,,Non-departmental,122494656,0,119638157,137526469,0,137526469,148889669,0,148889669,160695452,0,160695452,164475922,0,164475921,182116089,0,175062961,174545768,0,174318519,167132553,0,167132553,166637701,0,166637701,171624632,0,171624632
Capital Finance and Administration,46,,Non-departmental,221395879,0,211486829,237163066,0,204605587,242018806,0,231471056,256706618,0,245219541,215258251,0,211219473,211376482,0,205562462,223554561,0,213558498,204170495,0,197611253,170489678,0,170482421,149987305,0,149986662
Capital Improvement Expenditure Program,47,,Non-departmental,208728751,0,207499721,230594988,0,229441541,229385931,0,168224331,114687786,0,51931785,166153119,0,95472195,91871712,0,37299050,162746855,0,95788097,266753638,0,145404561,294764648,0,216471400,282518316,0,148239484
General City Purposes,48,,Non-departmental,81405120,0,70229724,73199057,0,65460597,76697273,0,70080251,65614928,0,59143025,61731188,0,56107704,57407023,0,52640862,77458835,0,70745456,86300286,0,78171790,80666965,0,77340723,70050563,0,62165421
Human Resources Benefits,49,,Non-departmental,650645100,0,648486758,618916838,0,615950631,601516383,0,579370861,592640770,0,584204291,580535553,0,575300819,549786127,0,546134290,541886165,0,541426777,503780559,0,499690559,471236000,0,469188738,468037000,0,467961740
Judgment Obligation Bonds Debt Service,50,,Non-departmental,9032425,0,9032119,9031025,0,9031011,9028225,0,9028212,9032425,0,9031395,9030425,0,9030414,9031375,0,9031373,10761715,0,9899622,7295480,0,6624163,4299080,0,4297371,6821699,0,6819335
Liability Claims,51,,Non-departmental,204829807,0,200768055,110110000,0,110013225,66005000,0,65846393,55920000,0,55561632,56943613,0,56941648,49175000,0,49057456,48722395,0,46792826,77483334,0,77473945,36838996,0,36750720,37070000,0,36637818
Proposition A Local Transit Assistance Trust,52,,Non-departmental,209378028,0,94222852,312744512,0,110850322,283828119,0,91157696,178566634,0,81715818,185742316,0,67416895,139593010,0,72557018,115340805,0,77489072,172929564,0,99486471,155214606,0,96699308,148712827,0,85606262
Proposition C Anti-Gridlock Transit Improvement,53,,Non-departmental,35105402,0,22815087,28196080,0,20911149,33623476,0,21849881,38971753,0,28704801,26505196,0,11926499,29892266,0,15575030,30382749,0,14196815,28014774,0,8584662,54284620,0,34498362,65133491,0,41010606
Special Parking Revenue,54,,Non-departmental,48097581,0,33881610,45229218,0,30211963,42635350,0,30823228,42404870,0,29900514,48704252,0,41298502,46868904,0,38085636,39910953,0,32717707,30503416,0,23034656,42737989,0,27121152,38841526,0,31239157
Local Transportation Fund,55,,Non-departmental,0,0,0,0,0,0,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unappropriated Balance,56,,Non-departmental,14380228,0,0,79364946,0,0,13243983,0,0,13415085,0,0,6403648,0,0,13520136,0,0,86682955,0,0,35831945,0,0,109485979,0,0,20761243,0,0
Wastewater Special Purpose,57,,Non-departmental,490103101,0,427490160,464794608,0,390066263,460118426,0,393498154,457653104,0,387072311,471926855,0,408482870,436323621,0,381272197,422481971,0,359069648,419940634,0,346804334,397845484,0,333469691,406532898,0,344990148
Water and Electricity,58,,Non-departmental,41800000,0,41800000,40978000,0,40978000,40764449,0,40764449,39969000,0,39969000,38050472,0,38050472,35978000,0,35978000,34646374,0,34404503,51674102,0,51561866,46720102,0,46720102,43204047,0,43204047
Other Special Purpose Funds,59,,Non-departmental,1106765002,0,675288161,993594219,0,590159439,924932972,0,471031187,874363650,0,505091962,797868798,0,494346067,700578793,0,467194955,581918918,0,444695564,556318706,0,382554029,592351089,0,382947004,545948727,0,354890966
